PLAYER,TEAM,POSITION(S)
Marques Bolden,Cavaliers,C
Max Strus,Bulls,SG
Tyler Zeller,Spurs,C
J.P. Macura,Cavaliers,SG
Jamal Crawford,Nets,SG
Dusty Hannahs,Grizzlies,SG
Henry Ellenson,Nets,PF
Matt Mooney,Cavaliers,SG
James Harden,Rockets,"PG, SG"
Kawhi Leonard,Clippers,SF
Giannis Antetokounmpo,Bucks,"SF, PF"
Jeremiah Martin,Nets,PG
Cameron Payne,Suns,PG
Naz Mitrou-Long,Pacers,"SG, SF"
LeBron James,Lakers,"PG, SF, PF"
Eric Mika,Kings,PF
Paul George,Clippers,"SG, SF"
Charles Brown Jr.,Hawks,SF
Luka Doncic,Mavericks,"PG, SG, SF"
Damian Lillard,Trail Blazers,PG
Karl-Anthony Towns,Timberwolves,C
Rudy Gobert,Jazz,C
Jimmy Butler,Heat,"SG, SF"
Frank Mason,Bucks,PG
David Nwaba,Rockets,SG
Anthony Davis,Lakers,PF
Shaquille Harrison,Bulls,"PG, SG"
Dewan Hernandez,Raptors,PF
Nikola Jokic,Nuggets,C
John Konchar,Grizzlies,SG
Jayson Tatum,Celtics,SF
Mfiondu Kabengele,Clippers,C
Stephen Curry,Warriors,PG
Jrue Holiday,Pelicans,SG
Joel Embiid,76ers,C
Garrison Mathews,Wizards,SG
Khris Middleton,Bucks,SF
Kemba Walker,Celtics,PG
Ivica Zubac,Clippers,C
Patrick Beverley,Clippers,PG
Chris Paul,Thunder,PG
Christian Wood,Pistons,"PF, C"
Michael Carter-Williams,Magic,PG
Montrezl Harrell,Clippers,C
Kyle Lowry,Raptors,PG
Chris Boucher,Raptors,"PF, C"
Jonathan Isaac,Magic,"SF, PF"
Jusuf Nurkic,Trail Blazers,C
George Hill,Bucks,"PG, SG"
Josh Magette,Magic,PG
Jakob Poeltl,Spurs,C
Luka Samanic,Spurs,PF
Patty Mills,Spurs,"PG, SG"
Trae Young,Hawks,PG
Kadeem Allen,Knicks,SG
Donte DiVincenzo,Bucks,"PG, SG"
Alex Caruso,Lakers,"PG, SG"
Andre Roberson,Thunder,"SG, SF"
Derrick Favors,Pelicans,"PF, C"
Derrick White,Spurs,"PG, SG"
Hassan Whiteside,Trail Blazers,C
Clint Capela,Hawks,C
Danilo Gallinari,Thunder,"SF, PF"
Caleb Martin,Hornets,SF
Johnathan Motley,Clippers,"SF, PF"
Josh Jackson,Grizzlies,"SG, SF"
Stanley Johnson,Raptors,SF
Boban Marjanovic,Mavericks,C
Mitchell Robinson,Knicks,C
Robert Williams III,Celtics,C
Enes Kanter,Celtics,C
Duncan Robinson,Heat,"SG, SF"
Fred VanVleet,Raptors,SG
Kyrie Irving,Nets,PG
Marcus Smart,Celtics,SG
Danny Green,Lakers,"SG, SF"
JaVale McGee,Lakers,C
Will Barton,Nuggets,"SG, SF"
Eric Bledsoe,Bucks,PG
Tony Bradley,Jazz,"PF, C"
Kris Dunn,Bulls,"PG, SG"
Marc Gasol,Raptors,C
Rondae Hollis-Jefferson,Raptors,"SF, PF"
Cody Martin,Hornets,SG
Jordan McLaughlin,Timberwolves,PG
Jonas Valanciunas,Grizzlies,C
Nikola Vucevic,Magic,C
John Henson,Pistons,C
Brook Lopez,Bucks,C
Adam Mokoka,Bulls,SG
Ben Simmons,76ers,PG
Steven Adams,Thunder,C
Gorgui Dieng,Grizzlies,"PF, C"
Keldon Johnson,Spurs,SF
Davis Bertans,Wizards,"SF, PF"
Jalen Brunson,Mavericks,PG
Tim Hardaway Jr.,Mavericks,"SG, SF"
