id,alias,name,image_url,is_closed,url,review_count,rating,price,phone,display_phone,categories_alias,categories_title,address,longitude,latitude
Y2jnZI45NbqXWUqi7IRqBQ,brim-cc-melbourne,Brim CC,https://s3-media1.fl.yelpcdn.com/bphoto/3sSLR-vlQyt1qa-0edC-4w/o.jpg,False,https://www.yelp.com/biz/brim-cc-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,22,4.5,$,+61386729934,+61 3 8672 9934,"japanese, cafes","Japanese, Cafes","Shop 2, 601 Little Collins St, Melbourne Victoria 3000, Australia",144.9549,-37.81803
qDQ4deH9qUvL8j5maTuzZQ,mr-ramen-san-melbourne,Mr Ramen San,https://s3-media4.fl.yelpcdn.com/bphoto/G6qn9EUPN-hHCMXt1Zc_wQ/o.jpg,False,https://www.yelp.com/biz/mr-ramen-san-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,23,4.5,$,+61390421588,+61 3 9042 1588,ramen,Ramen,"Shop 12A, 200 Bourke St, Melbourne Victoria 3000, Australia",144.9674196,-37.8127384
zUwgsJYYztRmyfNnSG5LAg,purple-peanuts-japanese-cafe-melbourne-2,Purple Peanuts Japanese Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/sUFyykEcWhcZsSqbGzNL5A/o.jpg,False,https://www.yelp.com/biz/purple-peanuts-japanese-cafe-melbourne-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,47,4.5,$,+61396209548,+61 3 9620 9548,"japanese, sushi, coffee","Japanese, Sushi Bars, Coffee & Tea","620 Collins Street, Melbourne Victoria 3000, Australia",144.954418,-37.818869
fwr9P55sKH3zTGGY_Y1TFA,izakaya-den-melbourne,Izakaya Den,https://s3-media1.fl.yelpcdn.com/bphoto/3-bRHuIx5JRwDDmPAXzW1w/o.jpg,False,https://www.yelp.com/biz/izakaya-den-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,58,4.0,$$$,+61396542977,+61 3 9654 2977,"japanese, sushi","Japanese, Sushi Bars","114 Russell St, Melbourne Victoria 3000, Australia",144.968708753586,-37.8136744816522
S02zOSrQSKPD4yywtE4yHw,maedaya-richmond-2,Maedaya,https://s3-media1.fl.yelpcdn.com/bphoto/5EVBGm2AgLdgyAAZdTEH6A/o.jpg,False,https://www.yelp.com/biz/maedaya-richmond-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,34,4.5,$$,+61394283918,+61 3 9428 3918,japanese,Japanese,"400 Bridge Rd, Richmond Victoria 3121, Australia",145.0048,-37.81946
QQ0pHUG4RxcWGMJhCFv2lA,little-ramen-bar-melbourne,Little Ramen Bar,https://s3-media2.fl.yelpcdn.com/bphoto/MvmQ01GCJMXHtxZgQa27mg/o.jpg,False,https://www.yelp.com/biz/little-ramen-bar-melbourne?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,71,4.0,$,+61396705558,+61 3 9670 5558,japanese,Japanese,"346 Little Bourke St, #5, Melbourne Victoria 3000, Australia",144.962355,-37.813379
eD7R-vIKKJzY3CYrFMorEw,aka-siro-collingwood,Aka Siro,https://s3-media4.fl.yelpcdn.com/bphoto/escISABhhrdYbfLpRuXuHA/o.jpg,False,https://www.yelp.com/biz/aka-siro-collingwood?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,15,4.5,$$,+61394170886,+61 3 9417 0886,japanese,Japanese,"106 Cambridge St, Collingwood Victoria 3066, Australia",144.985547,-37.80514
32lbSmebmarmohGdp9yPKw,hakata-gensuke-melbourne-2,Hakata Gensuke,https://s3-media3.fl.yelpcdn.com/bphoto/5iD2ru0yRY1KNrlgfZFpfQ/o.jpg,False,https://www.yelp.com/biz/hakata-gensuke-melbourne-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,54,4.0,$$,+61396636342,+61 3 9663 6342,ramen,Ramen,"168 Russell St, Melbourne Victoria 3000, Australia",144.968031,-37.812327
QZpE5HF_rPL0ZQLjM3Hk5Q,nobu-southbank-5,Nobu,https://s3-media4.fl.yelpcdn.com/bphoto/J4GPlF3aCXpHaGyFaKKtxg/o.jpg,False,https://www.yelp.com/biz/nobu-southbank-5?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,57,4.0,$$$$,+61392927879,+61 3 9292 7879,"sushi, japanese, lounges","Sushi Bars, Japanese, Lounges","8 Whiteman St, Shop 6, Southbank Victoria 3006, Australia",144.959652,-37.822064
67PzvyMN4bdOm5wYQKWShw,akachochin-south-wharf-2,Akachochin,https://s3-media2.fl.yelpcdn.com/bphoto/IpdrTzNigTTh1pcXC7KbHA/o.jpg,False,https://www.yelp.com/biz/akachochin-south-wharf-2?adjust_creative=-fKRk7dFCz1AqtDZnMHNwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-fKRk7dFCz1AqtDZnMHNwg,33,4.0,$$,+61392459900,+61 3 9245 9900,japanese,Japanese,"33 South Wharf Promenade, South Wharf Victoria 3006, Australia",144.950145,-37.824271
